omb_cat,name,year,corp,indv,total,gdp,gdp_price_index,corp_adj,indv_adj,total_adj,percent_corp,percent_gdp,percent_indv,percent_omb_cat,percent_total,percent_change,orig_name
Natural Resources And Environment,Industrial Co2 Capture And Sequestration Tax Credit,2014,80000000.0,0.0,80000000.0,17332300000000.0,0.9831296735363853,81372785,0,81372785,0.05,0.00,0.00,3.65,0.01,-1.47, 
International Affairs,Inventory Property Sales Source Rules Exception,2014,3600000000.0,,3600000000.0,17332300000000.0,0.9831296735363853,3661775346,,3661775346,2.43,0.02,,4.26,0.30,6.83, 
Community And Regional Development,Investment Credit For Rehabilitation Of Structures (Other Than Historic),2014,10000000.0,20000000.0,30000000.0,17332300000000.0,0.9831296735363853,10171598,20343196,30514795,0.01,0.00,0.00,1.17,0.00,-1.47, 
"Education, Training, Employment, And Social Services",Lifetime Learning Tax Credit,2014,,1680000000.0,1680000000.0,17332300000000.0,0.9831296735363853,,1708828495,1708828495,,0.01,0.16,1.42,0.14,-8.55, 
Health,Medical Savings Accounts / Health Savings Accounts,2014,,3900000000.0,3900000000.0,17332300000000.0,0.9831296735363853,,3966923291,3966923291,,0.02,0.38,1.72,0.33,23.55, 
Energy,Natural Gas Distribution Pipelines Treated As 15-Year Property,2014,100000000.0,0.0,100000000.0,17332300000000.0,0.9831296735363853,101715982,0,101715982,0.07,0.00,0.00,1.23,0.01,-1.47, 
Income Security,Net Exclusion Of Pension Contribution And Earnings: Defined Benefit Employer Plans,2014,,40090000000.0,40090000000.0,17332300000000.0,0.9831296735363853,,40777937112,40777937112,,0.23,3.87,24.40,3.38,4.33, 
Income Security,Net Exclusion Of Pension Contribution And Earnings: Defined Contribution Employer Plans,2014,,59380000000.0,59380000000.0,17332300000000.0,0.9831296735363853,,60398950005,60398950005,,0.34,5.73,36.14,5.01,15.46, 
Income Security,Net Exclusion Of Pension Contribution And Earnings: Individual Retirement Accounts,2014,,17450000000.0,17450000000.0,17332300000000.0,0.9831296735363853,,17749438828,17749438828,,0.10,1.68,10.62,1.47,-10.97, 
Income Security,Net Exclusion Of Pension Contribution And Earnings: Low And Moderate Income Savers Credit,2014,,1200000000.0,1200000000.0,17332300000000.0,0.9831296735363853,,1220591782,1220591782,,0.01,0.12,0.73,0.10,-0.65, 
Income Security,Net Exclusion Of Pension Contributions And Earnings: Self-Employed Plans,2014,,23300000000.0,23300000000.0,17332300000000.0,0.9831296735363853,,23699823764,23699823764,,0.13,2.25,14.18,1.97,18.33, 
Community And Regional Development,New Markets Tax Credit,2014,990000000.0,20000000.0,1010000000.0,17332300000000.0,0.9831296735363853,1006988220,20343196,1027331416,0.67,0.01,0.00,39.45,0.09,4.75, 
Commerce And Housing,Ordinary Income Treatment Of Loss From Small Business Corporation Stock Sale,2014,,60000000.0,60000000.0,17332300000000.0,0.9831296735363853,,61029589,61029589,,0.00,0.01,0.01,0.01,-1.47, 
"Education, Training, Employment, And Social Services",Parental Personal Exemption For Students Age 19 Or Over,2014,,5320000000.0,5320000000.0,17332300000000.0,0.9831296735363853,,5411290233,5411290233,,0.03,0.51,4.49,0.45,0.80, 
Energy,Qualified Energy Conservation Bonds,2014,10000000.0,20000000.0,30000000.0,17332300000000.0,0.9831296735363853,10171598,20343196,30514795,0.01,0.00,0.00,0.37,0.00,47.79, 
"Education, Training, Employment, And Social Services",Qualified School Construction Bonds,2014,160000000.0,490000000.0,650000000.0,17332300000000.0,0.9831296735363853,162745571,498408311,661153882,0.11,0.00,0.05,0.55,0.05,10.42, 
"Education, Training, Employment, And Social Services",Qualified Tuition Programs,2014,,1770000000.0,1770000000.0,17332300000000.0,0.9831296735363853,,1800372878,1800372878,,0.01,0.17,1.49,0.15,3.80, 
Community And Regional Development,Recovery Zone Bonds,2014,30000000.0,100000000.0,130000000.0,17332300000000.0,0.9831296735363853,30514795,101715982,132230776,0.02,0.00,0.01,5.08,0.01,6.74, 
Health,Refundable Premium Assistance Tax Credit,2014,,0.0,0.0,17332300000000.0,0.9831296735363853,,0,0,,0.00,0.00,0.00,0.00,, 
Health,Self-Employed Medical Insurance Premiums,2014,,6670000000.0,6670000000.0,17332300000000.0,0.9831296735363853,,6784455987,6784455987,,0.04,0.64,2.95,0.56,7.03, 
Commerce And Housing,Small Life Insurance Company Deduction,2014,30000000.0,,30000000.0,17332300000000.0,0.9831296735363853,30514795,,30514795,0.02,0.00,,0.01,0.00,-1.47, 
Commerce And Housing,Special Alternative Tax On Small Property And Casualty Insurance Companies,2014,10000000.0,,10000000.0,17332300000000.0,0.9831296735363853,10171598,,10171598,0.01,0.00,,0.00,0.00,-1.47, 
Health,Special Blue Cross/Blue Shield Deduction,2014,230000000.0,,230000000.0,17332300000000.0,0.9831296735363853,233946758,,233946758,0.16,0.00,,0.10,0.02,19.27, 
"Education, Training, Employment, And Social Services",Special Deduction For Teacher Expenses,2014,,170000000.0,170000000.0,17332300000000.0,0.9831296735363853,,172917169,172917169,,0.00,0.02,0.14,0.01,-11.85, 
Income Security,Special Esop Rules,2014,1630000000.0,100000000.0,1730000000.0,17332300000000.0,0.9831296735363853,1657970504,101715982,1759686485,1.10,0.01,0.01,1.05,0.15,3.30, 
Commerce And Housing,Special Rules For Certain Film And Tv Production,2014,167000000.0,40000000.0,207000000.0,17332300000000.0,0.9831296735363853,169865690,40686393,210552082,0.11,0.00,0.00,0.05,0.02,-29.67, 
Commerce And Housing,Step-Up Basis Of Capital Gains At Death,2014,,30780000000.0,30780000000.0,17332300000000.0,0.9831296735363853,,31308179204,31308179204,,0.18,2.97,7.28,2.60,31.57, 
Transportation,Tax Credit For Certain Expenditures For Maintaining Railroad Tracks,2014,50000000.0,10000000.0,60000000.0,17332300000000.0,0.9831296735363853,50857991,10171598,61029589,0.03,0.00,0.00,1.60,0.01,-50.74, 
Health,Tax Credit For Health Insurance Purchased By Certain Displaced And Retired Individuals,2014,,0.0,0.0,17332300000000.0,0.9831296735363853,,0,0,,0.00,0.00,0.00,0.00,-100.00, 
Health,Tax Credit For Orphan Drug Research,2014,1260000000.0,,1260000000.0,17332300000000.0,0.9831296735363853,1281621371,,1281621371,0.85,0.01,,0.56,0.11,19.37, 
Income Security,Tax Credit For The Elderly And Disabled,2014,,10000000.0,10000000.0,17332300000000.0,0.9831296735363853,,10171598,10171598,,0.00,0.00,0.01,0.00,-1.47, 
Energy,Tax Credits For Clean-Fuel Burning Vehicles,2014,100000000.0,340000000.0,440000000.0,17332300000000.0,0.9831296735363853,101715982,345834338,447550320,0.07,0.00,0.03,5.41,0.04,60.56, 
Commerce And Housing,Tax Exemption Of Certain Insurance Companies Owned By Tax-Exempt Organizations,2014,660000000.0,,660000000.0,17332300000000.0,0.9831296735363853,671325480,,671325480,0.44,0.00,,0.16,0.06,8.38, 
Natural Resources And Environment,Tax Incentives For Preservation Of Historic Structures,2014,500000000.0,80000000.0,580000000.0,17332300000000.0,0.9831296735363853,508579909,81372785,589952695,0.34,0.00,0.01,26.48,0.05,0.25, 
Energy,Temporary 50% Expensing For Equipment Used In The Refining Of Liquid Fuels,2014,-100000000.0,0.0,-100000000.0,17332300000000.0,0.9831296735363853,-101715982,0,-101715982,-0.07,-0.00,0.00,-1.23,-0.01,-116.42, 
Transportation,Tonnage Tax,2014,70000000.0,,70000000.0,17332300000000.0,0.9831296735363853,71201187,,71201187,0.05,0.00,,1.86,0.01,14.95, 
Agriculture,Treatment Of Loans Forgiven For Solvent Farmers,2014,,40000000.0,40000000.0,17332300000000.0,0.9831296735363853,,40686393,40686393,,0.00,0.00,3.08,0.00,-1.47, 
Commerce And Housing,Treatment Of Qualified Dividends,2014,,23840000000.0,23840000000.0,17332300000000.0,0.9831296735363853,,24249090066,24249090066,,0.14,2.30,5.64,2.01,-0.68, 
Community And Regional Development,Tribal Economic Development Bonds,2014,10000000.0,30000000.0,40000000.0,17332300000000.0,0.9831296735363853,10171598,30514795,40686393,0.01,0.00,0.00,1.56,0.00,97.05, 
"Education, Training, Employment, And Social Services",Work Opportunity Tax Credit,2014,610000000.0,270000000.0,880000000.0,17332300000000.0,0.9831296735363853,620467489,274633151,895100640,0.41,0.01,0.03,0.74,0.07,-3.66, 
Commerce And Housing,Accelerated Depreciation Of Buildings Other Than Rental Housing,2015,-3340000000.0,-4200000000.0,-7540000000.0,18219400000000.0,1.0,-3340000000,-4200000000,-7540000000,-2.23,-0.04,-0.38,-1.67,-0.61,-2.08, 
Commerce And Housing,Accelerated Depreciation Of Machinery And Equipment,2015,8090000000.0,7380000000.0,15470000000.0,18219400000000.0,1.0,8090000000,7380000000,15470000000,5.41,0.08,0.68,3.42,1.25,-0.59, 
Commerce And Housing,Accelerated Depreciation On Rental Housing,2015,410000000.0,2090000000.0,2500000000.0,18219400000000.0,1.0,410000000,2090000000,2500000000,0.27,0.01,0.19,0.55,0.20,17.60, 
Income Security,Additional Deduction For The Blind,2015,,30000000.0,30000000.0,18219400000000.0,1.0,,30000000,30000000,,0.00,0.00,0.02,0.00,-1.69, 
Income Security,Additional Deduction For The Elderly,2015,,2800000000.0,2800000000.0,18219400000000.0,1.0,,2800000000,2800000000,,0.02,0.26,1.64,0.23,7.53, 
"Education, Training, Employment, And Social Services",Adoption Credit And Exclusion,2015,,580000000.0,580000000.0,18219400000000.0,1.0,,580000000,580000000,,0.00,0.05,0.48,0.05,5.60, 
Energy,Advanced Energy Property Credit,2015,90000000.0,0.0,90000000.0,18219400000000.0,1.0,90000000,0,90000000,0.06,0.00,0.00,1.13,0.01,-19.56, 
Energy,Advanced Nuclear Power Production Credit,2015,0.0,0.0,0.0,18219400000000.0,1.0,0,0,0,0.00,0.00,0.00,0.00,0.00,, 
Energy,Alcohol Fuel Credits,2015,0.0,10000000.0,10000000.0,18219400000000.0,1.0,0,10000000,10000000,0.00,0.00,0.00,0.13,0.00,-1.69, 
Energy,Allowance Of Deduction For Certain Energy Efficient Commercial Building Property,2015,10000000.0,10000000.0,20000000.0,18219400000000.0,1.0,10000000,10000000,20000000,0.01,0.00,0.00,0.25,0.00,-50.84, 
Energy,Alternative Fuel Production Credit,2015,0.0,0.0,0.0,18219400000000.0,1.0,0,0,0,0.00,0.00,0.00,0.00,0.00,, 
"Education, Training, Employment, And Social Services",American Opportunity Tax Credit,2015,,15240000000.0,15240000000.0,18219400000000.0,1.0,,15240000000,15240000000,,0.08,1.40,12.52,1.23,-3.52, 
Energy,Amortize All Geological And Geophysical Expenditures Over 2 Years,2015,100000000.0,30000000.0,130000000.0,18219400000000.0,1.0,100000000,30000000,130000000,0.07,0.00,0.00,1.64,0.01,16.19, 
"Education, Training, Employment, And Social Services",Assistance For Adopted Foster Children,2015,,560000000.0,560000000.0,18219400000000.0,1.0,,560000000,560000000,,0.00,0.05,0.46,0.05,3.88, 
Energy,Bio-Diesel And Small Agri-Biodiesel Producer Tax Credits,2015,0.0,0.0,0.0,18219400000000.0,1.0,0,0,0,0.00,0.00,0.00,0.00,0.00,-100.00, 
General Purpose Fiscal Assistance,Build America Bonds,2015,0.0,0.0,0.0,18219400000000.0,1.0,0,0,0,0.00,0.00,0.00,0.00,0.00,, 
Commerce And Housing,"Capital Gains (Except Agriculture, Timber, Iron Ore, And Coal)",2015,,68850000000.0,68850000000.0,18219400000000.0,1.0,,68850000000,68850000000,,0.38,6.30,15.21,5.55,12.76, 
Commerce And Housing,Capital Gains Exclusion Of Small Corporation Stock,2015,,480000000.0,480000000.0,18219400000000.0,1.0,,480000000,480000000,,0.00,0.04,0.11,0.04,38.79, 
Commerce And Housing,Capital Gains Exclusion On Home Sales,2015,,56510000000.0,56510000000.0,18219400000000.0,1.0,,56510000000,56510000000,,0.31,5.17,12.48,4.55,6.33, 
Agriculture,Capital Gains Treatment Of Certain Income,2015,,920000000.0,920000000.0,18219400000000.0,1.0,,920000000,920000000,,0.01,0.08,64.79,0.07,13.06, 
Natural Resources And Environment,Capital Gains Treatment Of Certain Timber Income,2015,,90000000.0,90000000.0,18219400000000.0,1.0,,90000000,90000000,,0.00,0.01,3.93,0.01,10.60, 
Energy,Capital Gains Treatment Of Royalties On Coal,2015,,90000000.0,90000000.0,18219400000000.0,1.0,,90000000,90000000,,0.00,0.01,1.13,0.01,10.60, 
Commerce And Housing,Carryover Basis Of Capital Gains On Gifts,2015,,2560000000.0,2560000000.0,18219400000000.0,1.0,,2560000000,2560000000,,0.01,0.23,0.57,0.21,9.90, 
"Education, Training, Employment, And Social Services",Child Credit,2015,,23500000000.0,23500000000.0,18219400000000.0,1.0,,23500000000,23500000000,,0.13,2.15,19.31,1.89,-1.06, 
"Education, Training, Employment, And Social Services",Credit For Child And Dependent Care Expenses,2015,,4310000000.0,4310000000.0,18219400000000.0,1.0,,4310000000,4310000000,,0.02,0.39,3.54,0.35,0.89, 
Energy,Credit For Construction Of New Energy Efficient Homes,2015,20000000.0,40000000.0,60000000.0,18219400000000.0,1.0,20000000,40000000,60000000,0.01,0.00,0.00,0.76,0.00,-50.84, 
"Education, Training, Employment, And Social Services",Credit For Disabled Access Expenditures,2015,10000000.0,20000000.0,30000000.0,18219400000000.0,1.0,10000000,20000000,30000000,0.01,0.00,0.00,0.02,0.00,-1.69, 
Health,Credit For Employee Health Insurance Expenses Of Small Business,2015,460000000.0,590000000.0,1050000000.0,18219400000000.0,1.0,460000000,590000000,1050000000,0.31,0.01,0.05,0.44,0.08,18.65, 
Energy,Credit For Energy Efficiency Improvements To Existing Homes,2015,,0.0,0.0,18219400000000.0,1.0,,0,0,,0.00,0.00,0.00,0.00,, 
Energy,Credit For Energy Efficient Appliances,2015,120000000.0,0.0,120000000.0,18219400000000.0,1.0,120000000,0,120000000,0.08,0.00,0.00,1.51,0.01,-9.25, 
"Education, Training, Employment, And Social Services",Credit For Holders Of Zone Academy Bonds,2015,160000000.0,,160000000.0,18219400000000.0,1.0,160000000,,160000000,0.11,0.00,,0.13,0.01,-12.61, 
Energy,Credit For Holding Clean Renewable Energy Bonds,2015,20000000.0,50000000.0,70000000.0,18219400000000.0,1.0,20000000,50000000,70000000,0.01,0.00,0.00,0.88,0.01,-1.69, 
"General Science, Space, And Technology",Credit For Increasing Research Activities,2015,3040000000.0,130000000.0,3170000000.0,18219400000000.0,1.0,3040000000,130000000,3170000000,2.03,0.02,0.01,39.77,0.26,-42.50, 
Energy,Credit For Investment In Clean Coal Facilities,2015,130000000.0,10000000.0,140000000.0,18219400000000.0,1.0,130000000,10000000,140000000,0.09,0.00,0.00,1.77,0.01,-31.18, 
Commerce And Housing,Credit For Low-Income Housing Investments,2015,7870000000.0,410000000.0,8280000000.0,18219400000000.0,1.0,7870000000,410000000,8280000000,5.26,0.05,0.04,1.83,0.67,-2.04, 
Energy,Credit For Residential Energy Efficient Property,2015,0.0,1170000000.0,1170000000.0,18219400000000.0,1.0,0,1170000000,1170000000,0.00,0.01,0.11,14.75,0.09,8.52, 
Community And Regional Development,Credit To Holders Of Gulf Tax Credit Bonds,2015,80000000.0,200000000.0,280000000.0,18219400000000.0,1.0,80000000,200000000,280000000,0.05,0.00,0.02,10.73,0.02,14.70, 
Income Security,Deductibility Of Casualty Losses,2015,,360000000.0,360000000.0,18219400000000.0,1.0,,360000000,360000000,,0.00,0.03,0.21,0.03,4.10, 
"Education, Training, Employment, And Social Services",Deductibility Of Charitable Contributions (Education),2015,830000000.0,4540000000.0,5370000000.0,18219400000000.0,1.0,830000000,4540000000,5370000000,0.55,0.03,0.42,4.41,0.43,4.75, 
Health,Deductibility Of Charitable Contributions (Health),2015,240000000.0,5110000000.0,5350000000.0,18219400000000.0,1.0,240000000,5110000000,5350000000,0.16,0.03,0.47,2.26,0.43,5.62, 
"Education, Training, Employment, And Social Services","Deductibility Of Charitable Contributions, Other Than Education And Health",2015,1740000000.0,44890000000.0,46630000000.0,18219400000000.0,1.0,1740000000,44890000000,46630000000,1.16,0.26,4.11,38.31,3.76,5.15, 
Health,Deductibility Of Medical Expenses,2015,,8560000000.0,8560000000.0,18219400000000.0,1.0,,8560000000,8560000000,,0.05,0.78,3.62,0.69,4.02, 
Commerce And Housing,Deductibility Of Mortgage Interest On Owner-Occupied Homes,2015,,73910000000.0,73910000000.0,18219400000000.0,1.0,,73910000000,73910000000,,0.41,6.77,16.32,5.95,3.26, 
General Purpose Fiscal Assistance,Deductibility Of Nonbusiness State And Local Taxes Other Than On Owner-Occupied Homes,2015,,49290000000.0,49290000000.0,18219400000000.0,1.0,,49290000000,49290000000,,0.27,4.51,58.47,3.97,3.74, 
Commerce And Housing,Deductibility Of State And Local Property Tax On Owner-Occupied Homes,2015,,33880000000.0,33880000000.0,18219400000000.0,1.0,,33880000000,33880000000,,0.19,3.10,7.48,2.73,4.94, 
"Education, Training, Employment, And Social Services",Deductibility Of Student-Loan Interest,2015,,1780000000.0,1780000000.0,18219400000000.0,1.0,,1780000000,1780000000,,0.01,0.16,1.46,0.14,1.74, 
Natural Resources And Environment,Deduction For Endangered Species Recovery Expenditures,2015,10000000.0,10000000.0,20000000.0,18219400000000.0,1.0,10000000,10000000,20000000,0.01,0.00,0.00,0.87,0.00,-1.69, 
"Education, Training, Employment, And Social Services",Deduction For Higher Education Expenses,2015,,0.0,0.0,18219400000000.0,1.0,,0,0,,0.00,0.00,0.00,0.00,-100.00, 
Commerce And Housing,Deduction For Us Production Activities,2015,10950000000.0,3530000000.0,14480000000.0,18219400000000.0,1.0,10950000000,3530000000,14480000000,7.32,0.08,0.32,3.20,1.17,3.23, 
Energy,Deferral Of Gain From Dispositions Of Transmission Property To Implement Ferc Restructuring Policy,2015,-220000000.0,0.0,-220000000.0,18219400000000.0,1.0,-220000000,0,-220000000,-0.15,-0.00,0.00,-2.77,-0.02,260.48, 
Agriculture,Deferral Of Gain On Sale Of Farm Refiners,2015,20000000.0,0.0,20000000.0,18219400000000.0,1.0,20000000,0,20000000,0.01,0.00,0.00,1.41,0.00,-1.69, 
International Affairs,Deferral Of Income From Controlled Foreign Corporations,2015,75540000000.0,,75540000000.0,18219400000000.0,1.0,75540000000,,75540000000,50.51,0.41,,88.87,6.08,2.10, 
Commerce And Housing,Deferral Of Income From Installment Sales,2015,,1470000000.0,1470000000.0,18219400000000.0,1.0,,1470000000,1470000000,,0.01,0.13,0.32,0.12,8.66, 
Interest,Deferral Of Interest On Us Savings Bonds,2015,,1090000000.0,1090000000.0,18219400000000.0,1.0,,1090000000,1090000000,,0.01,0.10,100.00,0.09,-0.78, 
Transportation,Deferral Of Tax On Shipping Companies,2015,20000000.0,,20000000.0,18219400000000.0,1.0,20000000,,20000000,0.01,0.00,,0.53,0.00,-1.69, 
International Affairs,Deferred Taxes For Financial Firms On Certain Income Earned Overseas,2015,0.0,,0.0,18219400000000.0,1.0,0,,0,0.00,0.00,,0.00,0.00,-100.00, 
Commerce And Housing,Discharge Of Business Indebtedness,2015,,-80000000.0,-80000000.0,18219400000000.0,1.0,,-80000000,-80000000,,-0.00,-0.01,-0.02,-0.01,31.08, 
Commerce And Housing,Discharge Of Mortgage Indebtedness,2015,,0.0,0.0,18219400000000.0,1.0,,0,0,,0.00,0.00,0.00,0.00,-100.00, 
"Education, Training, Employment, And Social Services",Discharge Of Student Loan Indebtedness,2015,,90000000.0,90000000.0,18219400000000.0,1.0,,90000000,90000000,,0.00,0.01,0.07,0.01,-1.69, 
Health,Distributions From Retirement Plans For Premiums For Health And Long-Term Care Insurance,2015,,400000000.0,400000000.0,18219400000000.0,1.0,,400000000,400000000,,0.00,0.04,0.17,0.03,9.24, 
Income Security,Earned Income Tax Credit,2015,,4330000000.0,4330000000.0,18219400000000.0,1.0,,4330000000,4330000000,,0.02,0.40,2.53,0.35,-1.69, 
"Education, Training, Employment, And Social Services",Education Individual Retirement Accounts,2015,,100000000.0,100000000.0,18219400000000.0,1.0,,100000000,100000000,,0.00,0.01,0.08,0.01,22.89, 
"Education, Training, Employment, And Social Services",Employer Provided Child Care Exclusion,2015,,970000000.0,970000000.0,18219400000000.0,1.0,,970000000,970000000,,0.01,0.09,0.80,0.08,3.66, 
"Education, Training, Employment, And Social Services",Employer-Provided Child Care Credit,2015,10000000.0,,10000000.0,18219400000000.0,1.0,10000000,,10000000,0.01,0.00,,0.01,0.00,-1.69, 
Community And Regional Development,"Empowerment Zones, The Dc Enterprise Zone, And Renewal Communities",2015,50000000.0,150000000.0,200000000.0,18219400000000.0,1.0,50000000,150000000,200000000,0.03,0.00,0.01,7.66,0.02,-43.82, 
Energy,Energy Investment Credit,2015,1180000000.0,290000000.0,1470000000.0,18219400000000.0,1.0,1180000000,290000000,1470000000,0.79,0.01,0.03,18.54,0.12,-21.46, 
Energy,Energy Production Credit,2015,2250000000.0,750000000.0,3000000000.0,18219400000000.0,1.0,2250000000,750000000,3000000000,1.50,0.02,0.07,37.83,0.24,24.45, 
Energy,Exception From Passive Loss Limitation For Working Interests In Oil And Gas Properties,2015,,20000000.0,20000000.0,18219400000000.0,1.0,,20000000,20000000,,0.00,0.00,0.25,0.00,-1.69, 
Commerce And Housing,"Exception From Passive Loss Rules For $25,000 Of Rental Loss",2015,,10360000000.0,10360000000.0,18219400000000.0,1.0,,10360000000,10360000000,,0.06,0.95,2.29,0.83,3.72, 
Commerce And Housing,Exceptions From Imputed Interest Rules,2015,,40000000.0,40000000.0,18219400000000.0,1.0,,40000000,40000000,,0.00,0.00,0.01,0.00,31.08, 
Energy,"Excess Of Percentage Over Cost Depletion, Fuels",2015,650000000.0,130000000.0,780000000.0,18219400000000.0,1.0,650000000,130000000,780000000,0.43,0.00,0.01,9.84,0.06,14.45, 
Natural Resources And Environment,"Excess Of Percentage Over Cost Depletion, Nonfuel Minerals",2015,550000000.0,40000000.0,590000000.0,18219400000000.0,1.0,550000000,40000000,590000000,0.37,0.00,0.00,25.76,0.05,-1.69, 
Transportation,Exclusion For Employer-Provided Transit Passes,2015,,710000000.0,710000000.0,18219400000000.0,1.0,,710000000,710000000,,0.00,0.07,18.68,0.06,-1.69, 
National Defense,Exclusion Of Benefits And Allowances To Armed Forces Personnel,2015,,13230000000.0,13230000000.0,18219400000000.0,1.0,,13230000000,13230000000,,0.07,1.21,100.00,1.07,3.07, 
International Affairs,Exclusion Of Certain Allowances For Federal Employees Abroad,2015,,1220000000.0,1220000000.0,18219400000000.0,1.0,,1220000000,1220000000,,0.01,0.11,1.44,0.10,3.40, 
"Education, Training, Employment, And Social Services",Exclusion Of Certain Foster Care Payments,2015,,390000000.0,390000000.0,18219400000000.0,1.0,,390000000,390000000,,0.00,0.04,0.32,0.03,0.90, 
"Education, Training, Employment, And Social Services",Exclusion Of Employee Meals And Lodging (Other Than Military),2015,,3797000000.0,3797000000.0,18219400000000.0,1.0,,3797000000,3797000000,,0.02,0.35,3.12,0.31,0.89, 
Health,Exclusion Of Employer Contributions For Medical Insurance Premiums And Medical Care,2015,,207200000000.0,207200000000.0,18219400000000.0,1.0,,207200000000,207200000000,,1.14,18.97,87.59,16.69,3.93, 
"Education, Training, Employment, And Social Services",Exclusion Of Employer-Provided Educational Assistance,2015,,800000000.0,800000000.0,18219400000000.0,1.0,,800000000,800000000,,0.00,0.07,0.66,0.06,4.87, 
Veterans Benefits And Services,Exclusion Of Gi Bill Benefits,2015,,1160000000.0,1160000000.0,18219400000000.0,1.0,,1160000000,1160000000,,0.01,0.11,16.29,0.09,2.74, 
International Affairs,Exclusion Of Income Earned Abroad By Us Citizens,2015,,4350000000.0,4350000000.0,18219400000000.0,1.0,,4350000000,4350000000,,0.02,0.40,5.12,0.35,-0.77, 
Community And Regional Development,"Exclusion Of Interest For Airport, Dock, And Similar Bonds",2015,260000000.0,660000000.0,920000000.0,18219400000000.0,1.0,260000000,660000000,920000000,0.17,0.01,0.06,35.25,0.07,10.30, 
Transportation,Exclusion Of Interest On Bonds For Highway Projects And Rail-Truck Transfer Facilities,2015,50000000.0,170000000.0,220000000.0,18219400000000.0,1.0,50000000,170000000,220000000,0.03,0.00,0.02,5.79,0.02,-5.96, 
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Bonds For Private Nonprofit Educational Facilities,2015,780000000.0,1980000000.0,2760000000.0,18219400000000.0,1.0,780000000,1980000000,2760000000,0.52,0.02,0.18,2.27,0.22,9.41, 
Natural Resources And Environment,"Exclusion Of Interest On Bonds For Water, Sewage, And Hazardous Waste Facilities",2015,160000000.0,400000000.0,560000000.0,18219400000000.0,1.0,160000000,400000000,560000000,0.11,0.00,0.04,24.45,0.05,12.36, 
Energy,Exclusion Of Interest On Energy Facility Bonds,2015,10000000.0,20000000.0,30000000.0,18219400000000.0,1.0,10000000,20000000,30000000,0.01,0.00,0.00,0.38,0.00,-1.69, 
Health,Exclusion Of Interest On Hospital Construction Bonds,2015,1190000000.0,3020000000.0,4210000000.0,18219400000000.0,1.0,1190000000,3020000000,4210000000,0.80,0.02,0.28,1.78,0.34,9.21, 
Commerce And Housing,Exclusion Of Interest On Life Insurance Savings,2015,4100000000.0,18940000000.0,23040000000.0,18219400000000.0,1.0,4100000000,18940000000,23040000000,2.74,0.13,1.73,5.09,1.86,6.49, 
Commerce And Housing,Exclusion Of Interest On Owner-Occupied Mortgage Subsidy Bonds,2015,430000000.0,1080000000.0,1510000000.0,18219400000000.0,1.0,430000000,1080000000,1510000000,0.29,0.01,0.10,0.33,0.12,9.16, 
General Purpose Fiscal Assistance,Exclusion Of Interest On Public Purpose State And Local Bonds,2015,9930000000.0,25080000000.0,35010000000.0,18219400000000.0,1.0,9930000000,25080000000,35010000000,6.64,0.19,2.30,41.53,2.82,9.44, 
Commerce And Housing,Exclusion Of Interest On Rental Housing Bonds,2015,350000000.0,880000000.0,1230000000.0,18219400000000.0,1.0,350000000,880000000,1230000000,0.23,0.01,0.08,0.27,0.10,10.94, 
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Savings Bonds Redeemed To Finance Educational Expenses,2015,,10000000.0,10000000.0,18219400000000.0,1.0,,10000000,10000000,,0.00,0.00,0.01,0.00,-1.69, 
Commerce And Housing,Exclusion Of Interest On Small Issue Bonds,2015,60000000.0,150000000.0,210000000.0,18219400000000.0,1.0,60000000,150000000,210000000,0.04,0.00,0.01,0.05,0.02,8.66, 
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Student Loan Bonds,2015,180000000.0,440000000.0,620000000.0,18219400000000.0,1.0,180000000,440000000,620000000,0.12,0.00,0.04,0.51,0.05,8.85, 
Veterans Benefits And Services,Exclusion Of Interest On Veterans Housing Bonds,2015,10000000.0,10000000.0,20000000.0,18219400000000.0,1.0,10000000,10000000,20000000,0.01,0.00,0.00,0.28,0.00,96.63, 
Commerce And Housing,Exclusion Of Interest Spread Of Financial Institutions,2015,0.0,1840000000.0,1840000000.0,18219400000000.0,1.0,0,1840000000,1840000000,0.00,0.01,0.17,0.41,0.15,43.57, 
Income Security,Exclusion Of Military Disability Pensions,2015,,110000000.0,110000000.0,18219400000000.0,1.0,,110000000,110000000,,0.00,0.01,0.06,0.01,-1.69, 
Commerce And Housing,Exclusion Of Net Imputed Rental Income,2015,,79810000000.0,79810000000.0,18219400000000.0,1.0,,79810000000,79810000000,,0.44,7.31,17.63,6.43,2.94, 
Income Security,Exclusion Of Other Employee Benefits: Premiums On Accident And Disability Insurance,2015,,310000000.0,310000000.0,18219400000000.0,1.0,,310000000,310000000,,0.00,0.03,0.18,0.02,-1.69, 
Income Security,Exclusion Of Other Employee Benefits: Premiums On Group Term Life Insurance,2015,,1980000000.0,1980000000.0,18219400000000.0,1.0,,1980000000,1980000000,,0.01,0.18,1.16,0.16,0.34, 
"Education, Training, Employment, And Social Services",Exclusion Of Parsonage Allowances,2015,,758000000.0,758000000.0,18219400000000.0,1.0,,758000000,758000000,,0.00,0.07,0.62,0.06,3.50, 
